雪佛兰迈锐宝更换那种轮胎好	实际结果::保养项目	标注结果:::保养咨询	被选链条:::chain21	标注存疑
自由光保养贵吗	实际结果::保养费用	标注结果:::保养项目	被选链条:::chain5	 标注存疑
3系保养	实际结果::保养咨询	标注结果:::保养通用	被选链条:::chain15	实体识别（3系没识别）
保险肯定不算了就想知道平时正常保养维护的价位情况	实际结果::保养通用	标注结果:::保养费用	被选链条:::chain6	 已解决（但标注存疑）
还有，日后的维修保养方面，谁的价格比较公道些？	实际结果::保养费用	标注结果:::保养咨询	被选链条:::chain4	 标注存疑
10000公里了要做首保吗？	实际结果::保养项目	标注结果:::保养周期	被选链条:::chain16	大意图错误（为口碑）
开了5W公里了，我的速腾要做什么保养	实际结果::保养项目	标注结果:::保养通用	被选链条:::chain16	标注存疑
天逸保养都要更换哪些东西	实际结果::保养咨询	标注结果:::保养项目	被选链条:::chain15	实体问题（天逸不识别）
迈腾几公里开始保养，多少钱？	实际结果::保养费用	标注结果:::保养通用	被选链条:::chain23	标注存疑，很难界定
2013款朗逸4万公里要做什么保养	实际结果::保养项目	标注结果:::保养通用	被选链条:::chain16	标注存疑
你好，请问雨刮器什么时候更换。	实际结果::保养咨询	标注结果:::保养项目	被选链条:::chain15	标注存疑
10款550多少公里换正时皮带	实际结果::保养周期	标注结果:::保养项目	被选链条:::chain32	标注存疑（并且550的实体问题）
奥迪A6L多少公里更换机油	实际结果::保养项目	标注结果:::保养周期	被选链条:::chain7	 标注存疑（和上一句的标注矛盾）
5月份3000多公里保养了一次、现在10月份6000多公里用保养嘛？	实际结果::保养咨询	标注结果:::保养周期	被选链条:::chain15	实体识别（3000多公里和6000多公里）
宝马5系多少公里换压箱油？	实际结果::保养通用	标注结果:::保养周期	被选链条:::chain0	 实体识别（主要是压箱油算不算实体）
